game,post,games_post,time_c,time_std,games_post_std,mu_target_true,mu_cf_target_true,skill_true,skill_cf_true,true_treatment_effect,elo_obs,opp_elo,mu_target_mean,mu_target_lwr,mu_target_upr,mu_cf_target_mean,mu_cf_target_lwr,mu_cf_target_upr,skill_mean,skill_lwr,skill_upr,skill_cf_mean,skill_cf_lwr,skill_cf_upr,treatment_effect_mean,treatment_effect_lwr,treatment_effect_upr
1,0,0,-99.5,-0.995,0.0,1697.413,1697.413,1687.5217864965216,1687.5217864965216,0.0,1695.2083918814556,1755.36215881505,1722.7624481093649,1697.6246397065563,1746.5370725681987,1722.7624481093649,1697.6246397065563,1746.5370725681987,1719.006759874667,1694.6294916654285,1743.305604524914,1719.006759874667,1694.6294916654285,1743.305604524914,0.0,0.0,0.0
2,0,0,-98.5,-0.985,0.0,1697.439,1697.439,1684.0422642519125,1684.0422642519125,0.0,1713.8239163284031,1630.3237934517147,1722.8302576474034,1697.7546723440983,1746.4360661703868,1722.8302576474034,1697.7546723440983,1746.4360661703868,1719.68087576298,1695.6306641986116,1742.8034557108037,1719.68087576298,1695.6306641986116,1742.8034557108037,0.0,0.0,0.0
3,0,0,-97.5,-0.975,0.0,1697.465,1697.465,1697.1899715797667,1697.1899715797667,0.0,1731.3564012494626,1737.2740727403664,1722.8980671854342,1697.8852577468206,1746.4373190616702,1722.8980671854342,1697.8852577468206,1746.4373190616702,1721.4832320279377,1698.0973872443935,1745.3850270880578,1721.4832320279377,1698.0973872443935,1745.3850270880578,0.0,0.0,0.0
4,0,0,-96.5,-0.965,0.0,1697.491,1697.491,1699.1357363394975,1699.1357363394975,0.0,1746.1110959550863,1689.6964519064686,1722.9658767234687,1698.0592359348861,1746.350758089858,1722.9658767234687,1698.0592359348861,1746.350758089858,1721.7142703383956,1698.6124474260969,1744.9484046523435,1721.7142703383956,1698.6124474260969,1744.9484046523435,0.0,0.0,0.0
5,0,0,-95.5,-0.955,0.0,1697.517,1697.517,1708.3056706091063,1708.3056706091063,0.0,1715.902424740163,1730.982134164672,1723.033686261508,1698.3600258183076,1746.2809808426528,1723.033686261508,1698.3600258183076,1746.2809808426528,1717.2104956251305,1694.3124640946287,1740.2255295693017,1717.2104956251305,1694.3124640946287,1740.2255295693017,0.0,0.0,0.0
6,0,0,-94.5,-0.945,0.0,1697.543,1697.543,1713.8614551094965,1713.8614551094965,0.0,1724.0794971286803,1697.9602003476878,1723.101495799534,1698.473779644555,1746.2493132504635,1723.101495799534,1698.473779644555,1746.2493132504635,1712.8136403926974,1689.5646266722688,1735.4225301764818,1712.8136403926974,1689.5646266722688,1735.4225301764818,0.0,0.0,0.0
7,0,0,-93.5,-0.935,0.0,1697.569,1697.569,1707.1709695435968,1707.1709695435968,0.0,1692.9561227674353,1778.6370961899904,1723.1693053375805,1698.6816417724403,1746.243588056894,1723.1693053375805,1698.6816417724403,1746.243588056894,1706.3071184659464,1682.965824045982,1730.1780783565562,1706.3071184659464,1682.965824045982,1730.1780783565562,0.0,0.0,0.0
8,0,0,-92.5,-0.925,0.0,1697.595,1697.595,1712.398972356828,1712.398972356828,0.0,1693.2269268715481,1710.4656411842961,1723.2371148756147,1698.7883821448427,1746.1842721354062,1723.2371148756147,1698.7883821448427,1746.1842721354062,1702.2553172219095,1677.865107673278,1725.90279710251,1702.2553172219095,1677.865107673278,1725.90279710251,0.0,0.0,0.0
9,0,0,-91.5,-0.915,0.0,1697.621,1697.621,1708.9374583980332,1708.9374583980332,0.0,1675.90820991851,1699.86998202886,1723.3049244136428,1698.9063677686693,1746.1330604558282,1723.3049244136428,1698.9063677686693,1746.1330604558282,1699.644804561249,1675.4730556926745,1723.1444046076806,1699.644804561249,1675.4730556926745,1723.1444046076806,0.0,0.0,0.0
10,0,0,-90.5,-0.905,0.0,1697.647,1697.647,1705.487758068483,1705.487758068483,0.0,1699.8306710664979,1731.8422161255344,1723.372733951683,1699.1254533070387,1746.0514706924298,1723.372733951683,1699.1254533070387,1746.0514706924298,1701.3819759215216,1677.4551435255514,1724.760802919512,1701.3819759215216,1677.4551435255514,1724.760802919512,0.0,0.0,0.0
